Datetime	Close	Volume	AAPL-count	AAPL-followers	AAPL-followers happy	AAPL-followers sad	AAPL-happy	AAPL-sad
2013-12-13 15:30:00+00:00	556,129	13364	8	174,013	117,589	0,001	4	1
2013-12-13 15:31:00+00:00	556,31	19567	4	102,425	81,424	0,001	3	0
2013-12-13 15:32:00+00:00	555,47	67929	6	264,402	78,998	101,418	1	2
2013-12-13 15:33:00+00:00	555,54	69876	2	55,229	13,264	0,001	1	0
2013-12-13 15:34:00+00:00	555,52	44525	3	199,322	199,321	0,001	3	0
2013-12-13 15:35:00+00:00	555,96	14986	7	147,187	69,437	0,001	4	0
2013-12-13 15:36:00+00:00	556,24	25009	3	68,098	28,158	7,001	1	1
2013-12-13 15:37:00+00:00	556,2	16120	3	367,8	355,883	0,001	2	0
2013-12-13 15:38:00+00:00	555,9	25957	2	22,957	-0,002	0,001	0	0
2013-12-13 15:39:00+00:00	556,31	15183	4	66,663	54,755	7,551	2	1
2013-12-13 15:40:00+00:00	556,663	22716	1	14,897	-0,002	0,001	0	0
2013-12-13 15:41:00+00:00	556,98	36286	2	42,711	-0,002	42,715	0	2
2013-12-13 15:42:00+00:00	556,69	14550	5	106,985	41,645	65,342	3	2
2013-12-13 15:43:00+00:00	556,036	21898	2	66,583	-0,002	52,375	0	1
2013-12-13 15:44:00+00:00	555,9	47914	5	493,462	97,881	0,001	3	0
2013-12-13 15:45:00+00:00	555,929	31428	2	35,385	-0,002	0,001	0	0
2013-12-13 15:46:00+00:00	556,21	40841	2	48,879	14,211	34,671	1	1
2013-12-13 15:47:00+00:00	556,03	29037	3	40,496	11,703	4,692	1	1
2013-12-13 15:48:00+00:00	555,869	17720	3	35,474	14,122	21,356	2	1
2013-12-13 15:49:00+00:00	555,475	36889	2	43,08	-0,001	43,085	0	2
2013-12-13 15:50:00+00:00	555,73	23234	3	24,431	5,291	14,902	1	1
2013-12-13 15:51:00+00:00	555,26	25258	4	91,752	6,557	0,002	1	0
2013-12-13 15:52:00+00:00	555,47	177310	2	75,266	55,045	0,002	1	0
2013-12-13 15:53:00+00:00	555,61	23170	3	270,819	143,394	0,002	1	0
2013-12-13 15:54:00+00:00	555,81	17070	3	102,759	-0,001	0,002	0	0
2013-12-13 15:55:00+00:00	555,77	10361	5	170,123	11,754	85,114	2	1
2013-12-13 15:56:00+00:00	555,638	8916	4	762,577	19,183	0,002	1	0
2013-12-13 15:57:00+00:00	555,71	22412	3	224,07	224,074	0,002	3	0
2013-12-13 15:58:00+00:00	555,74	15497	8	169,753	105,95	29,14	6	1
2013-12-13 15:59:00+00:00	555,32	25413	3	28,039	24,301	3,744	2	1
2013-12-13 16:00:00+00:00	555,44	37677	4	207,83	73,041	0,002	1	0
2013-12-13 16:01:00+00:00	555,38	11574	4	91,797	64,351	17,552	2	1
2013-12-13 16:02:00+00:00	555,11	25250	3	100,693	100,697	0,002	3	0
2013-12-13 16:03:00+00:00	554,84	58346	5	141,745	112,027	20,559	2	2
2013-12-13 16:04:00+00:00	554,92	21800	1	143,391	0	143,397	0	1
2013-12-13 16:05:00+00:00	554,71	28299	2	34,308	12,61	0,002	1	0
2013-12-13 16:06:00+00:00	554,65	34655	10	177,945	90,923	0,002	4	0
2013-12-13 16:07:00+00:00	554,55	17965	4	333,472	136,382	0,002	1	0
2013-12-13 16:08:00+00:00	554,7	27398	4	37,05	0	9,799	0	2
2013-12-13 16:09:00+00:00	554,99	23173	3	169,518	55,027	12,532	1	1
2013-12-13 16:10:00+00:00	554,685	13743	4	427,399	168,641	43,911	1	1
2013-12-13 16:11:00+00:00	554,7	6822	3	96,035	29,137	0,002	1	0
2013-12-13 16:12:00+00:00	554,73	16845	1	18,863	-0,001	18,87	0	1
2013-12-13 16:13:00+00:00	554,7	21817	4	30,967	14,604	0,002	2	0
2013-12-13 16:14:00+00:00	555	19868	4	25,074	4,689	0,002	1	0
2013-12-13 16:15:00+00:00	554,959	17802	6	106,195	26,258	0,002	3	0
2013-12-13 16:16:00+00:00	554,89	15735	3	111,666	41,592	6,858	1	1
2013-12-13 16:17:00+00:00	555,27	44165	6	958,01	17,348	0,002	1	0
2013-12-13 16:18:00+00:00	555,71	37944	4	132,674	14,898	24,395	1	1
2013-12-13 16:19:00+00:00	555,98	26349	5	111,233	60,438	26,436	1	2
2013-12-13 16:20:00+00:00	555,76	45799	5	90,243	-0,002	41,313	0	3
2013-12-13 16:21:00+00:00	555,58	11705	2	125,821	-0,002	0,002	0	0
2013-12-13 16:22:00+00:00	555,69	16542	3	607,165	-0,002	37,506	0	2
2013-12-13 16:23:00+00:00	555,56	7458	7	233,475	-0,002	0,002	0	0
2013-12-13 16:24:00+00:00	555,52	18061	6	162,389	32,053	0,002	2	0
2013-12-13 16:25:00+00:00	555,745	15397	2	31,721	-0,002	0,002	0	0
2013-12-13 16:26:00+00:00	555,83	12628	6	221,286	-0,002	131,577	0	2
2013-12-13 16:27:00+00:00	555,74	14891	2	12,623	-0,002	12,63	0	2
2013-12-13 16:28:00+00:00	555,85	7689	1	19,718	19,721	0,002	1	0
2013-12-13 16:29:00+00:00	555,56	22642	0	-0,005	-0,002	0,002	0	0
2013-12-13 16:30:00+00:00	555,44	33901	1	21,536	-0,002	0,002	0	0
2013-12-13 16:31:00+00:00	555,9	15318	1	11,353	11,356	0,002	1	0
2013-12-13 16:32:00+00:00	555,79	35702	7	147,249	8,658	0,002	1	0
2013-12-13 16:33:00+00:00	555,75	27755	3	181,824	141,511	40,317	1	2
2013-12-13 16:34:00+00:00	555,45	51449	2	16,438	16,441	0,002	2	0
2013-12-13 16:35:00+00:00	555,43	35214	5	252,672	224,444	28,233	4	1
2013-12-13 16:36:00+00:00	555,05	47115	2	91,98	73,49	0,002	1	0
2013-12-13 16:37:00+00:00	555,06	13612	3	65,53	43,831	21,705	2	1
2013-12-13 16:38:00+00:00	554,84	10428	5	145,288	5,914	0,002	1	0
2013-12-13 16:39:00+00:00	555,09	22835	3	154,482	65,649	59,701	1	1
2013-12-13 16:40:00+00:00	554,93	31858	2	39,721	18,653	0,002	1	0
2013-12-13 16:41:00+00:00	554,78	52076	2	59,659	48,527	0,002	1	0
2013-12-13 16:42:00+00:00	554,86	10801	3	35,266	29,884	0,002	2	0
2013-12-13 16:43:00+00:00	554,52	25396	3	115,25	32,51	42,558	1	1
2013-12-13 16:44:00+00:00	554,57	31217	3	45,734	14,695	21,145	1	1
2013-12-13 16:45:00+00:00	554,783	14492	3	72,15	11,703	60,453	1	2
2013-12-13 16:46:00+00:00	554,81	9065	4	98,682	69,531	29,157	3	1
2013-12-13 16:47:00+00:00	554,9	11945	9	198,336	131,276	36,368	4	3
2013-12-13 16:48:00+00:00	554,6	15375	7	495,822	386,217	0,002	4	0
2013-12-13 16:49:00+00:00	554,65	23632	2	19,325	9,379	0,002	1	0
2013-12-13 16:50:00+00:00	554,68	9492	6	169,298	153,07	0,002	4	0
2013-12-13 16:51:00+00:00	554,65	11543	3	93,273	38,041	55,238	2	1
2013-12-13 16:52:00+00:00	554,305	33761	2	28,306	13,377	14,935	1	1
2013-12-13 16:53:00+00:00	554,46	50608	0	-0,006	-0,002	0,002	0	0
2013-12-13 16:54:00+00:00	554,34	11584	2	34,609	34,613	0,002	2	0
2013-12-13 16:55:00+00:00	554,22	20046	3	62,674	-0,002	0,002	0	0
2013-12-13 16:56:00+00:00	554,6	18939	5	130,398	96,642	4,608	2	2
2013-12-13 16:57:00+00:00	554,56	18320	5	68,922	9,898	19,977	1	2
2013-12-13 16:58:00+00:00	554,765	15945	3	29,58	14,797	0,002	1	0
2013-12-13 16:59:00+00:00	555,015	24983	2	10,764	5,384	0,002	1	0
2013-12-13 17:00:00+00:00	554,93	23836	5	75,227	40,425	5,387	2	1
2013-12-13 17:01:00+00:00	554,78	17187	7	405,467	58,389	0,002	3	0
2013-12-13 17:02:00+00:00	555	11577	6	135,628	77,904	0,002	4	0
2013-12-13 17:03:00+00:00	554,773	10747	7	95,064	14,769	20,714	2	1
2013-12-13 17:04:00+00:00	554,844	20198	1	1155,997	-0,001	0,002	0	0
2013-12-13 17:05:00+00:00	554,88	10034	8	175,109	53,192	0,002	3	0
2013-12-13 17:06:00+00:00	555,13	18885	4	66,849	32,124	0,002	1	0
2013-12-13 17:07:00+00:00	555,14	32431	5	367,355	317,04	0,002	2	0
2013-12-13 17:08:00+00:00	555,11	16347	5	179,93	95,472	0,002	1	0
2013-12-13 17:09:00+00:00	554,98	55872	6	185,215	103,394	0,002	3	0
2013-12-13 17:10:00+00:00	554,87	14042	5	135,123	104,78	0,002	4	0
2013-12-13 17:11:00+00:00	554,99	8552	3	273,855	269,987	3,875	2	1
2013-12-13 17:12:00+00:00	554,821	5823	9	197,617	171,431	26,194	8	1
2013-12-13 17:13:00+00:00	555,214	13977	5	202,102	16,03	0,002	1	0
2013-12-13 17:14:00+00:00	555,21	19953	3	129,832	102,82	0,002	2	0
2013-12-13 17:15:00+00:00	555,1	18368	3	101,084	58,723	0,002	2	0
2013-12-13 17:16:00+00:00	555,31	6573	2	48,171	-0,001	0,002	0	0
2013-12-13 17:17:00+00:00	555,46	18293	7	179,588	50,865	12,002	2	1
2013-12-13 17:18:00+00:00	555,3	14392	5	64,614	21,371	37,868	2	2
2013-12-13 17:19:00+00:00	555,41	14312	0	-0,009	-0,001	0,002	0	0
2013-12-13 17:20:00+00:00	555,55	18766	1	5,468	-0,001	0,002	0	0
2013-12-13 17:21:00+00:00	555,44	13651	5	42,086	24,364	0,002	2	0
2013-12-13 17:22:00+00:00	555,49	5161	2	58,863	-0,001	0,002	0	0
2013-12-13 17:23:00+00:00	555,45	7047	2	50,509	32,74	0,002	1	0
2013-12-13 17:24:00+00:00	555,54	8694	5	91,734	33,115	0,002	2	0
2013-12-13 17:25:00+00:00	555,62	8433	4	39,846	9,689	0,002	2	0
2013-12-13 17:26:00+00:00	555,57	14168	3	366,341	94,296	0,002	1	0
