Datetime	Close	Volume	MSFT-count	MSFT-followers	MSFT-followers happy	MSFT-followers sad
2013-08-16 13:56:00+00:00	31,5309	66947,9	1	16,28	16,279	0
2013-08-16 13:57:00+00:00	31,5507	77637,4	0	0,001	0	0
2013-08-16 13:58:00+00:00	31,5706	75787,4	6	111,985	111,984	0
2013-08-16 13:59:00+00:00	31,6103	111416	1	0,001	0	0
2013-08-16 14:00:00+00:00	31,5309	94036,8	2	20,445	10,344	10,1
2013-08-16 14:01:00+00:00	31,5507	44759,9	0	0,001	0	0
2013-08-16 14:02:00+00:00	31,5507	29619,9	1	57,01	57,009	0
2013-08-16 14:03:00+00:00	31,5606	44944,3	0	0,001	0	0
2013-08-16 14:04:00+00:00	31,5606	45772,5	1	24,394	0	0
2013-08-16 14:05:00+00:00	31,6003	62847	1	67,898	67,897	0
2013-08-16 14:06:00+00:00	31,5805	70051,3	1	31,592	31,591	0
2013-08-16 14:07:00+00:00	31,5706	52011,5	0	0,001	0	0
2013-08-16 14:08:00+00:00	31,5805	41136,6	0	0,001	0	0
2013-08-16 14:09:00+00:00	31,6003	36541	1	10,818	0	0
2013-08-16 14:10:00+00:00	31,5904	47631,5	2	12,162	0	12,161
2013-08-16 14:11:00+00:00	31,5904	36364,7	1	7,001	7	0
2013-08-16 14:12:00+00:00	31,5904	25432,4	0	0,001	0	0
2013-08-16 14:13:00+00:00	31,6003	85245,6	0	0,001	0	0
2013-08-16 14:14:00+00:00	31,5904	111765	0	0,001	0	0
2013-08-16 14:15:00+00:00	31,5706	80516	0	0,001	0	0
2013-08-16 14:16:00+00:00	31,5904	70771,7	1	25,437	25,436	0
2013-08-16 14:17:00+00:00	31,5408	57250,9	3	53,986	50,521	0
2013-08-16 14:18:00+00:00	31,5507	43984,1	0	0,001	0	0
2013-08-16 14:19:00+00:00	31,511	121927	0	0,001	0	0
2013-08-16 14:20:00+00:00	31,5209	83088,4	6	167,988	134,267	9,327
2013-08-16 14:21:00+00:00	31,5209	34638,7	1	369,999	0	0
2013-08-16 14:22:00+00:00	31,5309	38031,3	0	0,002	0	0
2013-08-16 14:23:00+00:00	31,5309	61530,1	2	79,077	0	0
2013-08-16 14:24:00+00:00	31,5309	87394,8	3	199,355	173,411	0
2013-08-16 14:25:00+00:00	31,5309	66930,8	3	982,236	52,564	929,67
2013-08-16 14:26:00+00:00	31,5507	47428	1	29,362	29,36	0
2013-08-16 14:27:00+00:00	31,5606	56053,9	0	0,002	0	0
2013-08-16 14:28:00+00:00	31,5904	58456	1	25,944	0	0
2013-08-16 14:29:00+00:00	31,6103	85294	1	9,329	0	0
2013-08-16 14:30:00+00:00	31,6003	132987	4	85,479	0	60,407
2013-08-16 14:31:00+00:00	31,5706	62990,1	0	0,001	0	0
2013-08-16 14:32:00+00:00	31,5805	99508	1	25,141	25,14	0
2013-08-16 14:33:00+00:00	31,6103	91532	1	9,329	0	9,327
2013-08-16 14:34:00+00:00	31,5805	58287,7	2	105,441	0	0
2013-08-16 14:35:00+00:00	31,6003	41641,4	2	1478,388	10,63	1467,757
2013-08-16 14:36:00+00:00	31,6003	33653,3	2	104,39	0	78,505
2013-08-16 14:37:00+00:00	31,6103	57430,3	4	63,654	0	63,654
2013-08-16 14:38:00+00:00	31,6103	60704,9	5	114,262	50,458	63,804
2013-08-16 14:39:00+00:00	31,6103	100956	4	267,812	0	267,812
2013-08-16 14:40:00+00:00	31,6103	60777,5	1	2,236	0	2,236
2013-08-16 14:41:00+00:00	31,6103	48410,4	6	48,854	3,464	26,984
2013-08-16 14:42:00+00:00	31,5805	39321	2	72,644	0	72,643
2013-08-16 14:43:00+00:00	31,5706	44943,3	3	39,711	29,318	10,392
2013-08-16 14:44:00+00:00	31,5805	69986,8	1	5,832	0	5,831
2013-08-16 14:45:00+00:00	31,5904	57800,1	1	18,575	18,574	0
2013-08-16 14:46:00+00:00	31,6003	88982,8	0	0,001	0	0
2013-08-16 14:47:00+00:00	31,6202	75618,2	1	1,733	0	1,732
2013-08-16 14:48:00+00:00	31,6202	68638,6	0	0,001	0	0
2013-08-16 14:49:00+00:00	31,6003	89342,5	2	27,999	0	27,998
2013-08-16 14:50:00+00:00	31,6103	87884,5	1	10,955	0	10,954
2013-08-16 14:51:00+00:00	31,6301	89541	1	1,733	0	1,732
2013-08-16 14:52:00+00:00	31,6202	59233,8	0	0,001	0	0
2013-08-16 14:53:00+00:00	31,6103	37274,6	1	118,871	0	0
2013-08-16 14:54:00+00:00	31,6301	48971,6	0	0,001	0	0
2013-08-16 14:55:00+00:00	31,64	34784,8	3	25,634	4	21,633
2013-08-16 14:56:00+00:00	31,6202	66078,4	0	0,001	0	0
2013-08-16 14:57:00+00:00	31,6202	38825,2	1	541,577	541,576	0
2013-08-16 14:58:00+00:00	31,6202	34157,1	1	21,402	0	0
2013-08-16 14:59:00+00:00	31,6103	100728	2	499,384	499,383	0
2013-08-16 15:00:00+00:00	31,6202	101036	2	34,963	32,726	2,236
2013-08-16 15:01:00+00:00	31,6301	95840,4	2	36,681	24,351	0
2013-08-16 15:02:00+00:00	31,6698	155517	0	0,001	-0,001	0
2013-08-16 15:03:00+00:00	31,7194	100972	1	46,841	-0,001	46,84
2013-08-16 15:04:00+00:00	31,7294	66829	0	0,001	-0,001	0
2013-08-16 15:05:00+00:00	31,7095	90617,1	0	0,001	-0,001	0
2013-08-16 15:06:00+00:00	31,6996	76100,8	3	358,365	343,263	0
2013-08-16 15:07:00+00:00	31,7194	134623	2	19,923	15,231	0
2013-08-16 15:08:00+00:00	31,7393	118923	3	35,532	23,53	12
2013-08-16 15:09:00+00:00	31,6897	67838,6	0	0,001	-0,001	0
2013-08-16 15:10:00+00:00	31,6698	52774,2	1	29,767	29,765	0
2013-08-16 15:11:00+00:00	31,64	32612,5	2	376,947	2,828	374,118
2013-08-16 15:12:00+00:00	31,65	36233,7	1	20,616	0	20,616
2013-08-16 15:13:00+00:00	31,6797	47170	6	107,539	59,388	0
2013-08-16 15:14:00+00:00	31,6698	37685,7	3	34,282	34,281	0
2013-08-16 15:15:00+00:00	31,6599	60806,7	1	112,005	112,004	0
2013-08-16 15:16:00+00:00	31,6599	33147,5	3	568,348	541,6	3,317
2013-08-16 15:17:00+00:00	31,6599	19507,8	0	0	0	0
2013-08-16 15:18:00+00:00	31,6797	25373	2	47,453	45,453	0
2013-08-16 15:19:00+00:00	31,6599	23868,7	3	508,873	175,191	0
2013-08-16 15:20:00+00:00	31,65	32320,3	1	9,746	9,747	0
2013-08-16 15:21:00+00:00	31,6202	32972,2	2	50,438	27,767	0
2013-08-16 15:22:00+00:00	31,6202	19812,1	0	0	0	0
2013-08-16 15:23:00+00:00	31,6103	23710,5	1	5	5	0
2013-08-16 15:24:00+00:00	31,6003	48515,2	4	243,325	79,201	5,099
2013-08-16 15:25:00+00:00	31,5904	66470,3	1	25,14	25,14	0
2013-08-16 15:26:00+00:00	31,5706	74085,6	0	0	0	0
2013-08-16 15:27:00+00:00	31,5805	38350,7	0	0	0	0
2013-08-16 15:28:00+00:00	31,6003	65028,5	2	22,043	22,043	0
2013-08-16 15:29:00+00:00	31,5706	56051,9	3	1354,386	1324,163	0
2013-08-16 15:30:00+00:00	31,6003	65808,3	0	-0,001	0	0
2013-08-16 15:31:00+00:00	31,5706	83281,9	6	1554,398	1531,696	6
2013-08-16 15:32:00+00:00	31,5606	55727,5	0	-0,001	0	0
2013-08-16 15:33:00+00:00	31,6003	15215,5	1	24,392	0	24,393
2013-08-16 15:34:00+00:00	31,6103	31686,5	0	-0,001	0	0
2013-08-16 15:35:00+00:00	31,6103	18309,8	1	9,273	0	9,274
2013-08-16 15:36:00+00:00	31,6202	42547,2	2	12,872	12,873	0
2013-08-16 15:37:00+00:00	31,6301	38335,5	1	39,012	0	0
2013-08-16 15:38:00+00:00	31,64	62919,6	2	26,528	20,785	5,745
2013-08-16 15:39:00+00:00	31,64	66645,6	0	-0,001	0	0
2013-08-16 15:40:00+00:00	31,6202	69268,4	1	12,96	12,961	0
2013-08-16 15:41:00+00:00	31,6301	12196,8	0	-0,001	0	0
2013-08-16 15:42:00+00:00	31,64	23832,4	2	8,717	4,359	0
2013-08-16 15:43:00+00:00	31,65	27076,8	0	-0,001	0	0
2013-08-16 15:44:00+00:00	31,65	19970,3	5	118,692	47,933	0
2013-08-16 15:45:00+00:00	31,6599	11597,3	1	72,089	72,09	0
2013-08-16 15:46:00+00:00	31,6599	11168,1	1	370,001	370,002	0
2013-08-16 15:47:00+00:00	31,6599	15865,4	2	35,845	28,635	0
2013-08-16 15:48:00+00:00	31,6599	28451,1	2	61,709	31,527	0
2013-08-16 15:49:00+00:00	31,65	62605,2	2	21,09	5,567	0
2013-08-16 15:50:00+00:00	31,6301	76066,5	1	13,962	-0,001	0
2013-08-16 15:51:00+00:00	31,6301	12565,6	0	-0,002	-0,001	0
2013-08-16 15:52:00+00:00	31,6103	60893,3	3	38,475	32,56	0
2013-08-16 15:53:00+00:00	31,6003	38496,8	1	12,528	12,529	0
2013-08-16 15:54:00+00:00	31,5904	15458,4	1	47,474	47,475	0
2013-08-16 15:55:00+00:00	31,5904	76502,8	0	-0,002	-0,001	0
2013-08-16 15:56:00+00:00	31,6103	50536,4	1	32,586	-0,001	0
2013-08-16 15:57:00+00:00	31,6103	33830,6	2	487,071	12,805	474,267
2013-08-16 15:58:00+00:00	31,6599	43657,6	1	118,872	-0,001	118,874
2013-08-16 15:59:00+00:00	31,6599	52250,3	3	380,725	-0,001	30,708
2013-08-16 16:00:00+00:00	31,6103	40937,1	0	-0,002	-0,001	0
2013-08-16 16:01:00+00:00	31,6301	54438,8	6	512,509	87,061	421,207
2013-08-16 16:02:00+00:00	31,6103	51623,6	3	86,031	30,708	55,325
2013-08-16 16:03:00+00:00	31,6202	18509,3	0	-0,003	0	0
2013-08-16 16:04:00+00:00	31,6202	16519,3	1	-0,003	0	0
